No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Link
1,2,1µF,"C1,C2",C0402,1µF,CL05A105KA5NQNC,SAMSUNG(三星),C52923,LCSC,"[LCSC](https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.html?s_z=n_C52923)"
2,1,2.2µF,C3,C0603,2.2µF,CL10A225KO8NNNC,SAMSUNG(三星),C23630,LCSC,
3,2,20pF,"C4,C5",C0402,20pF,0402CG200J500NT,FH(风华),C1554,LCSC,
4,1,22µF,C6,C0603,22µF,CL10A226MQ8NRNC,SAMSUNG(三星),C59461,LCSC,
5,1,10µF,C7,C0603,10µF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC,
6,2,10kΩ,"R1,R2",R0402,10kΩ,0402WGF1002TCE,UNI-ROYAL(厚声),C25744,LCSC,
7,1,1MΩ,R3,R0402,1MΩ,0402WGF1004TCE,UNI-ROYAL(厚声),C26083,LCSC,
8,1,STM32F411CEU6,U1,UFQFPN-48_L7.0-W7.0-P0.50-BL-EP,,STM32F411CEU6,ST(意法半导体),C60420,LCSC,
9,1,AMS1117-3.3,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,AMS1117-3.3,AMS,C6186,LCSC,
10,2,TS-1088-AR02016,"U3,U4",SW-SMD_L3.9-W3.0-P4.45,,TS-1088-AR02016,XUNPU(讯普),C720477,LCSC,
11,1,AM90-01-T1-B,USB1,USB-A-TH_AM90-01-T1-B,,AM90-01-T1-B,Yuandi(元迪),C19077690,LCSC,
12,1,25MHz,X1,HC-49US_L11.5-W4.5-P4.88,25MHz,XIHCELNANF-25MHZ,TAITIEN(泰艺电子),C295079,LCSC,
